succumb,yield, die"
appease,make quiet or calm
garrulous,too talkative
dupe,cheat make a fool of
ambivalent,having both of two contrary meanings
retrospective,Looking back on past
pilferer,to steal, especially in small quantities"
sophisticated,complex; subtle; refined
vigorous,strong energetic
timid,shy easily frightened
alleviate,make (pain) easier to bear
predominate,have more power than others
massacre,cruel killing of a large number of people
solvent,of the power of forming a solution
arcane,known or understood by very few
incongruous,out of place; not in harmony or agreement
dangle,hand or swing loosely
partisan,one-sided committed to a party biased or prejudiced
defer,postpone
ascend,go or come up
unscathed,unharmed unhurt
woo,try to win
invincible,too strong to be defeated
malleable,yielding easily shaped; moldable; adapting
implosion,collapse; bursting inward
audacious,Bold
flop,fail/move/fall clumsily
tonic,something giving strength or energy
misogynist,one who hates women/females
mite,A very small amount, portion, or particle"
pluck,pull the feathers off pick (e.g.. flowers)
ambidextrous,able to use the left hand or the right equally well
reminiscent,suggest something in the past
cryptic,secret with a hidden meaning
accolade,praise; approval
antidote,medicine used against a poison or a disease
asterisk,the mark * (e.g.. omitted letters)
endorse,write one's name on the back of
articulate,speak distinctly; connect by joints
evasive,tending to evade
ameliorate,improve; make better
catalyst,substance that causes speeding up
commemorate,keep the memory of
parenthesis,sentence within another one something separated
tadpole,form of a frog when it leaves the egg
conceal,hide keep secret
ossified,turned to bone; hardened like bone; Inflexible
extinct,no longer active
sluggard,lazy slow-moving person
beguile,mislead or delude; cheat; pass time
retrograde,receding
acclaimed,welcomed with shouts and approval
impromptu,without preparation
philanthropist,one who loves mankind
buoyant,able to float; light-hearted
aberration,straying away from what is normal
combustion,process of burning
premature,doing or happening something before the right time
extinguish,end the existence of/wipe or put out
clientele,customers
enduring,lasting
stray,wander lose one's way
implicit,implied though; not plainly expressed
anguish,severe suffering
sadistic,Cruel
dislodge,move force from the place occupied
chortle,loud chuckle of pleasure or amusement
limp,lacking strength; walking unevenly
erratic,irregular in behaviour or opinion
euphoria,elation state of pleasant excitement
apt,well-suited; quick-witted
redeem,get back by payment compensate
flimsy,lacking solidarity, strength"
endeavor,to make an effort, to try very hard"
embezzle,use in a wrong way for one's own benefit
brittle,easily broken
livid,Furiously angry, enraged"
connoisseur,a person with good judgement (e.g.. in art)
loll,rest to sit or stand in a lazy way hang (dog's tongue)
narcissism,Self-love
constrict,make tight or smaller
agile,active; quick-moving
chisel,steel tool for shaping materials
animosity,strong dislike
stride,walk with long steps
poseur,a person who attempts to impress by acting unlike himself
liberality,free giving; generosity
encapsulate,enclose in capsule
knit,draw together; unite firmly
calipers,metal supports attached to the legs measuring instrument
legacy,Bequest or inheritance
console,give comfort or sympathy to
suffice,be enough
enigma,something that is puzzling
steeply,rising or falling sharply
hospitable,liking to give hospitality
renovate,restore something to better condition
sawdust,tiny bits of wood
disallow,refuse to allow or accept as a correct
gait,a manner of walking, stepping, or running"
reiterate,say or do again several times
boisterous,noisy; restraint
sequence,succession connected line of
infuriate,fill with fury or rage
skit,short piece of humorous writing
suffocate,cause or have difficulty in breathing
warrant,authority written order guarantee
ambiguous,doubtful; uncertain
sanction,approval (by authority) penalty
turbulence,being uncontrollably violent
immutable,that cannot be changed
writ,written order
fleet,number of ships; quick-moving
satiate,satisfy fully
fragrant,sweet-smelling
spear,weapon with a metal point on a long shaft
salvage,the saving of property from loss
pivotal,of great importance (others depend on it)
arrogance,proud; superior manner of behaviour
dexterity,skill (esp. in handling)
resuscitation,coming back to consciousness
shunned,avoided, kept away from"
dwarf,person much smaller the usual size
recitals,a number of performance of music
moribund,in a dying state; near death
eloquence,fluent speaking skillful use of language
dote,show much fondness center one's attention
rejuvenation,becoming young in nature or appearance
fission,splitting or division (esp. of cells)
cordial,warm and sincere
Lambaste,attack verbally
indigenous,native
gallant,brave,behaves well with women"
evoke,call up bring out
turmoil,trouble disturbance
equilibrium,state of being balanced
riddle,puzzling person or thing
forgery,counterfeit
ingest,take in by swallowing
opaqueness,dullness/not allowing light to pass through
meticulous,giving great attention to details
refine,make or become pure cultural
eradicate,get rid of pull up by the roots
tractable,easily controlled or guided
vivacious,lively high-spirited
abide,be faithful; to endure
extralegal,outside the law
bewilder,puzzle; confuse
mischievous,harmful; causing mischief
correlate,have a mutual relation
plea,request
relapse,fall back again
yeoman,man owning small estate; middle-class farmer
disrobe,undress
foolproof,incapable of failure or error
brass,yellow metal (mixing copper and zinc)
indulgent,inclined to indulge
jabber,talk excitedly; utter rapidly
centurion,leader of a unit of 100 soldiers
impede,hinder; get in the way of
sporadic,happening from time to time
